["emeril","1. Emery. [Obs.] Drayton. 2. A glazier's diamond. Crabb."]
["diurnal","1. Relating to the daytime; belonging to the period of daylight, distinguished from the night; -- opposed to Ant: nocturnal; as, diurnal heat; diurnal hours. 2. Daily; recurring every day; performed in a day; going through its changes in a day; constituting the measure of a day; as, a diurnal fever; a diurnal task; diurnal aberration, or diurnal parallax; the diurnal revolution of the earth. Ere twice the horses of the sun shall bring Their fiery torcher his diurnal ring. Shak. 3. (Bot.)  Opening during the day, and closing at night; -- said of flowers or leaves. 4. (Zoöl.)  Active by day; -- applied especially to the eagles and hawks among raptorial birds, and to butterflies (Diurna) among insects. Diurnal aberration (Anat.), the aberration of light arising from the effect of the earth's rotation upon the apparent direction of motion of light. -- Diurnal arc, the arc described by the sun during the daytime or while above the horizon; hence, the arc described by the moon or a star from rising to setting. -- Diurnal circle, the apparent circle described by a celestial body in consequence of the earth's rotation. -- Diurnal motion of the earth, the motion of the earth upon its axis which is described in twentyfour hours. -- Diurnal motion of a heavenly body, that apparent motion of the heavenly body which is due to the earth's diurnal motion. -- Diurnal parallax. See under Parallax. -- Diurnal revolution of a planet, the motion of the planet upon its own axis which constitutes one complete revolution. Syn. -- See Daily.\n\n1. A daybook; a journal. [Obs.] Tatler. 2. (R. C. Ch.)  A small volume containing the daily service for the \"little hours,\" viz., prime, tierce, sext, nones, vespers, and compline. 3. (Zoöl.)  A diurnal bird or insect."]
["excern","To excrete; to throw off through the pores; as, fluids are excerned in perspiration. [R.] Bacon."]
["plough","See Plow.\n\n1. A well-known implement, drawn by horses, mules, oxen, or other power, for turning up the soil to prepare it for bearing crops; also used to furrow or break up the soil for other purposes; as, the subsoil plow; the draining plow. Where fern succeeds ungrateful to the plow. Dryden. 2. Fig.: Agriculture; husbandry. Johnson. 3. A carucate of land; a plowland. [Obs.] [Eng.] Johan, mine eldest son, shall have plowes five. Tale of Gamelyn. 4. A joiner's plane for making grooves; a grooving plane. 5. (Bookbinding)  An implement for trimming or shaving off the edges of books. 6. (Astron.)  Same as Charles's Wain. Ice plow, a plow used for cutting ice on rivers, ponds, etc., into cakes suitable for storing. [U. S.] -- Mackerel plow. See under Mackerel. -- Plow alms, a penny formerly paid by every plowland to the church. Cowell. -- Plow beam, that part of the frame of a plow to which the draught is applied. See Beam, n., 9. -- Plow Monday, the Monday after Twelth Day, or the end of Christmas holidays. -- Plow staff. (a) A kind of long-handled spade or paddle for cleaning the plowshare; a paddle staff. (b) A plow handle. -- Snow plow, a structure, usually\n\n1. To turn up, break up, or trench, with a plow; to till with, or as with, a plow; as, to plow the ground; to plow a field. 2. To furrow; to make furrows, grooves, or ridges in; to run through, as in sailing. Let patient Octavia plow thy visage up With her prepared nails. Shak. With speed we plow the watery way. Pope. 3. (Bookbinding)  To trim, or shave off the edges of, as a book or paper, with a plow. See Plow, n., 5. 4. (Joinery)  To cut a groove in, as in a plank, or the edge of a board; especially, a rectangular groove to receive the end of a shelf or tread, the edge of a panel, a tongue, etc. To plow in, to cover by plowing; as, to plow in wheat. -- To plow up, to turn out of the ground by plowing.plow ahead, to continue in spite of obstacles or resistence by others. Note: Often used in a bad sense, meaning to continue obstinately in spite of the contrary advice of others. plow through, to execute a difficult or laborious task steadily, esp. one containing many parts; as, he plowed through the stack of correspondence until all had been answered.\n\nTo labor with, or as with, a plow; to till or turn up the soil with a plow; to till or turn up the soil with a plow; to prepare the soil or bed for anything. Shak. Doth the plowman plow all day to sow Isa. xxviii. 24."]
["clarifier","1. That which clarifies. 2. A vessel in which the process of clarification is conducted; as, the clarifier in sugar works. Ure."]
["odontolcae","An extinct order of ostrichlike aquatic birds having teeth, which are set in a groove in the jaw. It includes Hesperornis, and allied genera. See Hesperornis. [Written also Odontholcae, and Odontoholcae.]"]
["splay","1. To display; to spread. [Obs.] \"Our ensigns splayed.\" Gascoigne. 2. To dislocate, as a shoulder bone. 3. To spay; to castrate. [Obs. or Prov. Eng.] 4. To turn on one side; to render oblique; to slope or slant, as the side of a door, window, etc. Oxf. Gloss.\n\nDisplayed; spread out; turned outward; hence, flat; ungainly; as, splay shoulders. Sonwthing splay, something blunt-edged, unhandy, and infelicitous. M. Arnold.\n\nA slope or bevel, especially of the sides of a door or window, by which the opening is made larged at one face of the wall than at the other, or larger at each of the faces than it is between them."]
["wire-drawer","One who draws metal into wire."]
["dishing","Dish-shaped; concave."]
["attaste","To taste or cause to taste. [Obs.] Chaucer."]
["russia","A country of Europe and Asia. Russia iron, a kind of sheet iron made in Russia, having a lustrous blue-black surface. -- Russia leather, a soft kind of leather, made originally in Russia but now elsewhere, having a peculiar odor from being impregnated with an oil obtained from birch bark. It is much used in bookbinding, on account of its not being subject to mold, and being proof against insects. -- Russia matting, matting manufactured in Russia from the inner bark of the linden (Tilia Europæa)."]
["cabman","The driver of a cab."]
["twinkle","1. To open and shut the eye rapidly; to blink; to wink. The owl fell a moping and twinkling. L' Estrange. 2. To shine with an intermitted or a broken, quavering light; to flash at intervals; to sparkle; to scintillate. These stars not twinkle when viewed through telescopes that have large apertures. Sir I. Newton. The western sky twinkled with stars. Sir W. Scott.\n\n1. A closing or opening, or a quick motion, of the eye; a wink or sparkle of the eye. Suddenly, with twinkle of her eye, The damsel broke his misintended dart. Spenser. 2. A brief flash or gleam, esp. when rapidly repeated. 3. The time of a wink; a twinkling. Dryden."]
["abeyant","Being in a state of abeyance."]
["hammerman","A hammerer; a forgeman."]
["francic","Pertaining to the Franks, or their language; Frankish."]
["urtical","Resembling nettles; -- said of several natural orders allied to urticaceous plants."]
["ovum","1. (Biol.)  A more or less spherical and transparent mass of granular protoplasm, which by a process of multiplication and growth develops into a mass of cells, constituting a new individual like the parent; an egg, spore, germ, or germ cell. See Illust. of Mycropyle. Note: The ovum is a typical cell, with a cell wall, cell substance, nucleus, and nucleolus. In man and the higher animals the cell wall, a vertically striated membrane, is called the zona pellucida; the cell contents, the vitellus; the nucleus, the germinal vesicle; and the nucleolus, the germinal spot. The diameter of the ripe ovum in man and the domestic animals varies between 1-200 and 1-120 of an inch. 2. (Arch.)  One of the series of egg-shaped ornaments into which the ovolo is often carved. Gwilt."]
["brucite","(a) A white, pearly mineral, occurring thin and foliated, like talc, and also fibrous; a native magnesium hydrate. (b) The mineral chondrodite. [R.]"]
["predecessor","One who precedes; one who has preceded another in any state, position, office, etc.; one whom another follows or comes after, in any office or position. A prince who was as watchful as his predecessor had been over the interests of the state. Prescott."]
["irregeneracy","Unregeneracy."]
["isomeromorphism","Isomorphism between substances that are isomeric."]
["foppish","Foplike; characteristic of a top in dress or manners; making an ostentatious display of gay clothing; affected in manners. Syn. -- Finical; spruce; dandyish. See Finical. -- Fop\"pish*ly, adv. -- Fop\"pish*ness, n."]
